model_key,condition,method,target_node,planned_runs,provider_responses,valid_runs,model_invalid_runs,transport_ambiguous_runs,model_validity_rate,pipeline_yield,mean_evaluation_cost_valid_runs,median_evaluation_cost_valid_runs,mean_normalized_regret_valid_runs,median_normalized_regret_valid_runs,std_normalized_regret_valid_runs,p05_normalized_regret_valid_runs,p95_normalized_regret_valid_runs
open_weight,zero,deepseek_v4_zero,36,20,20,20,0,0,1.0,1.0,2711.266495737579,2711.20648052891,0.0001909053186714422,0.00016876560426635885,0.00011345013046494705,3.475049933804453e-05,0.0003703913897715157
open_weight,zero,deepseek_v4_zero,39,20,20,17,3,0,0.85,0.85,2413.141402509895,2413.0976154794507,0.0003301650353726478,0.00031201380422424713,0.00013842104495060892,0.000160212343515387,0.0005408484904257965
open_weight,zero,deepseek_v4_zero,42,20,20,20,0,0,1.0,1.0,2374.6346329462685,2374.6293767538573,0.00031358377473488024,0.0003113696064602665,0.0001742945497594751,5.264254648797174e-05,0.0005308920124896412
open_weight,zero,deepseek_v4_zero,46,20,20,20,0,0,1.0,1.0,1195.0710335403398,1194.9513235411628,0.00010017981219715738,0.0,0.00011075294954208014,0.0,0.00022262180488257194
open_weight,zero,deepseek_v4_zero,52,20,20,20,0,0,1.0,1.0,2348.5278656142773,2348.6663269494734,0.0002728872640942031,0.00033186000253135117,0.00012089041460021517,5.3225567445988404e-05,0.00042552309112038606
open_weight,full,deepseek_v4_full,6,20,20,20,0,0,1.0,1.0,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0
open_weight,full,deepseek_v4_full,7,20,20,20,0,0,1.0,1.0,1322.718176672852,1322.559694709727,0.00020171406655531527,8.187453160228015e-05,0.00025891085847245474,0.0,0.0007554759183395182
open_weight,full,deepseek_v4_full,12,20,20,20,0,0,1.0,1.0,1789.883676372044,1789.717714164437,0.00018915263355847353,9.641275219817793e-05,0.0001766374391172011,0.0,0.0005582872186269475
open_weight,full,deepseek_v4_full,18,20,20,20,0,0,1.0,1.0,2499.6253543079406,2499.5140482497686,8.926665509086083e-05,4.4733583805116765e-05,9.656257709893335e-05,0.0,0.00024232907150991556
open_weight,full,deepseek_v4_full,29,20,20,20,0,0,1.0,1.0,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0
open_weight,full,deepseek_v4_full,36,20,20,20,0,0,1.0,1.0,2711.0952875759604,2711.2554020784532,0.0001277463313728088,0.0001868128486092032,0.00010705033873203133,0.0,0.00023693048224969314
