target,m,m_total,delta_median,delta_max,J_star_proxy,mdelta_med_ratio,mdelta_max_ratio,coverage,obs_fraction
angle_of_osculation,7,7,0.23294920167602198,0.5571453806747924,26.248872613211667,0.06212245515304199,0.14857848267207396,0.8571428571428571,1.0
angles_of_a_polygon,84,95,0.08818121168605736,0.43509677632858035,131.9162812193279,0.05615092931033549,0.27705548453746015,0.8333333333333334,0.8842105263157894
application_division_large_nums,46,57,0.08915795529103909,0.43509677632858035,72.44071670421506,0.056615479939738915,0.27628732323061245,0.6956521739130435,0.8070175438596491
application_of_linear_equations_2,0,1,,,0.0,,,0.0,0.0
application_of_scientific_notation_2,66,77,0.07518912779190257,0.43509677632858035,105.7503779879685,0.04692638011024569,0.27154879050128256,0.803030303030303,0.8571428571428571
arc_length_and_circular_sector_area,5,5,0.33444187391555813,0.36221804511278194,22.86676816475578,0.07312836503739706,0.07920184490064132,0.6,1.0
area_of_a_circle2,68,79,0.0777170306850738,0.43509677632858035,104.57755009933756,0.050534345866441316,0.28291522188308443,0.7941176470588235,0.8607594936708861
areas_of_trapezoids_rhombi_and_kites,1,1,,,2.6875,,,0.0,1.0
arithmetic_means,88,106,0.09416258234025715,0.4403701299978366,138.80049797590144,0.059699405742631405,0.2791961988964755,0.8295454545454546,0.8301886792452831
arithmetic_reasoning,63,74,0.07588354998428126,0.43509677632858035,89.59420638176304,0.0533590713292241,0.30594720368302863,0.7936507936507936,0.8513513513513513
arithmetic_series,89,107,0.09416258234025715,0.4403701299978366,141.51899092537266,0.05921798744807449,0.2769447500546065,0.8202247191011236,0.8317757009345794
attributs_of_shapes,1,5,,,1.2999999999999998,,,0.0,0.2
baseline_compareline_application,86,102,0.09271353734998661,0.4403701299978366,139.99246410337608,0.05695566731514201,0.2705276417725447,0.8023255813953488,0.8431372549019608
basic_concept_of_similar_shapes,110,125,0.09271353734998661,0.5536213195787664,181.73491302668003,0.0561173906468996,0.33509436431030715,0.8454545454545455,0.88
basic_concepts_of_probability_2,89,105,0.09416258234025715,0.4403701299978366,141.44563782416628,0.059248697642417254,0.2770883724143472,0.8426966292134831,0.8476190476190476
calculating_averages_advanced,66,77,0.0777170306850738,0.43509677632858035,102.60811548058919,0.04998945747312947,0.2798646783754517,0.7878787878787878,0.8571428571428571
cc_and_cubic_meter_conversion,0,1,,,0.0,,,0.0,0.0
cell_bctest_cap,0,1,,,0.0,,,0.0,0.0
chain_rule_1,190,212,0.1376111091864206,0.7878919860627177,388.9386996940719,0.06722424578985249,0.3848922142992346,0.8631578947368421,0.8962264150943396
chickens_and_rabbits_questions,63,74,0.07588354998428126,0.43509677632858035,91.19043140743985,0.052425057927949284,0.30059181084720915,0.7936507936507936,0.8513513513513513
classification_bctest_cap,0,1,,,0.0,,,0.0,0.0
combinations_of_polynomials,121,137,0.1019728915014741,0.4633152173913043,208.11606355578994,0.059287686211548535,0.2693744074652817,0.8099173553719008,0.8832116788321168
common_factor_advance,122,139,0.1019728915014741,0.4633152173913043,209.48761934575757,0.05938629119006112,0.26982242052426963,0.819672131147541,0.8776978417266187
common_factors_of_a_polynomial_1,0,1,,,0.0,,,0.0,0.0
common_factors_of_a_polynomial_2,1,1,,,1.0,,,0.0,1.0
comparing_absolute_values,45,55,0.0729846605426357,0.43509677632858035,64.78693699748683,0.050694011426192426,0.30221146178813213,0.7111111111111111,0.8181818181818182
comparing_objects,0,1,,,0.0,,,0.0,0.0
comparing_size,0,2,,,0.0,,,0.0,0.0
compound_inequalities,110,126,0.10114612830117331,0.4403701299978366,185.99310915290206,0.059819818937391335,0.26044359664926975,0.8181818181818182,0.873015873015873
compound_numbers_world_problems,0,1,,,0.0,,,0.0,0.0
concepts_related_to_parallelogram,85,96,0.08818121168605736,0.43509677632858035,134.028095483044,0.05592411774785775,0.2759363688235658,0.8235294117647058,0.8854166666666666
cone_surface_arc,86,97,0.08955720423975061,0.43509677632858035,158.96915633446397,0.048449144112044346,0.23538102375992634,0.8372093023255814,0.8865979381443299
consistency_bctest_cap,0,1,,,0.0,,,0.0,0.0
constructing_and_interpreting_absolute_value,44,56,0.06939134890861143,0.43509677632858035,63.663764220108455,0.04795851124075587,0.30070886308684125,0.7045454545454546,0.7857142857142857
converting_repeating_decimals_to_fractions_2,109,125,0.10379975507149064,0.4403701299978366,186.90239243724199,0.060535197839115665,0.2568203838582844,0.8440366972477065,0.872
coordination_bctest_cap,1,1,,,1.7710583153347734,,,0.0,1.0
