method,display_name,target_node,planned_runs,provider_responses,valid_runs,model_invalid_runs,transport_ambiguous_runs,model_validity_rate,validity_rate,pipeline_yield,mean_evaluation_cost,median_evaluation_cost,optimal_cost,mean_normalized_regret,median_normalized_regret,std_normalized_regret,p05_normalized_regret,p95_normalized_regret,min_normalized_regret,max_normalized_regret
bkt_set_greedy,BKT-set Greedy,18,1,1,1,0,0,1.0,1.0,1.0,2499.9153886476656,2499.9153886476656,2499.402241030157,0.00020530813691569766,0.00020530813691569766,0.0,0.00020530813691569766,0.00020530813691569766,0.00020530813691569766,0.00020530813691569766
bkt_set_greedy,BKT-set Greedy,29,1,1,1,0,0,1.0,1.0,1.0,536.5474715636964,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bkt_set_greedy,BKT-set Greedy,36,1,1,1,0,0,1.0,1.0,1.0,2711.2621469535316,2711.2621469535316,2710.7489993360227,0.00018930104470554543,0.00018930104470554543,0.0,0.00018930104470554543,0.00018930104470554543,0.00018930104470554543,0.00018930104470554543
bkt_set_greedy,BKT-set Greedy,39,1,1,1,0,0,1.0,1.0,1.0,2412.8719545001586,2412.8719545001586,2412.3449305605654,0.00021846956167694372,0.00021846956167694372,0.0,0.00021846956167694372,0.00021846956167694372,0.00021846956167694372,0.00021846956167694372
bkt_set_greedy,BKT-set Greedy,42,1,1,1,0,0,1.0,1.0,1.0,2375.050352693586,2375.050352693586,2373.8902194904344,0.0004887054985215133,0.0004887054985215133,0.0,0.0004887054985215133,0.0004887054985215133,0.0004887054985215133,0.0004887054985215133
bkt_set_greedy,BKT-set Greedy,46,1,1,1,0,0,1.0,1.0,1.0,1194.9513235411628,1194.9513235411628,1194.9513235411628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bkt_set_greedy,BKT-set Greedy,52,1,1,1,0,0,1.0,1.0,1.0,2348.40030472908,2348.40030472908,2347.887157111571,0.00021855718915388928,0.00021855718915388928,0.0,0.00021855718915388928,0.00021855718915388928,0.00021855718915388928,0.00021855718915388928
bkt_set_lao,BKT-set LAO*,6,1,1,1,0,0,1.0,1.0,1.0,708.9110672643005,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bkt_set_lao,BKT-set LAO*,7,1,1,1,0,0,1.0,1.0,1.0,1322.9084903454202,1322.9084903454202,1322.4514196191788,0.0003456238312126999,0.0003456238312126999,0.0,0.0003456238312126999,0.0003456238312126999,0.0003456238312126999,0.0003456238312126999
bkt_set_lao,BKT-set LAO*,12,1,1,1,0,0,1.0,1.0,1.0,1790.0022499147703,1790.0022499147703,1789.5451791885284,0.0002554116719473763,0.0002554116719473763,0.0,0.0002554116719473763,0.0002554116719473763,0.0002554116719473763,0.0002554116719473763
